epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,2130.55,0.91944,0.40591,1.0029,0.95381,0.96866,0.97363,0.67642,1.20279,0.44956,1.09916,0.0010159,0.0010159,0.0010159
148,2141.27,0.92053,0.39686,1.00231,0.97053,0.95961,0.97805,0.6883,1.16925,0.42858,1.07791,0.00101308,0.00101308,0.00101308
149,2151.95,0.92051,0.40459,1.01217,0.95827,0.97851,0.96999,0.67674,1.15556,0.41205,1.0824,0.00101025,0.00101025,0.00101025
150,2162.64,0.93483,0.40718,1.00769,0.96349,0.96897,0.97115,0.66974,1.22104,0.44645,1.10244,0.00100742,0.00100742,0.00100742
151,2173.22,0.92754,0.39962,1.00597,0.95163,0.97518,0.96615,0.67388,1.18994,0.45538,1.10161,0.00100459,0.00100459,0.00100459
152,2183.88,0.93721,0.39876,1.01091,0.95408,0.97594,0.96765,0.68452,1.15443,0.42044,1.07448,0.00100176,0.00100176,0.00100176
153,2194.68,0.92251,0.3967,0.99931,0.96287,0.96307,0.97412,0.68399,1.16634,0.43562,1.08216,0.000998928,0.000998928,0.000998928
154,2205.52,0.89754,0.3956,1.00277,0.97174,0.95649,0.97286,0.67591,1.21733,0.44631,1.10582,0.000996099,0.000996099,0.000996099
155,2217.14,0.92559,0.39529,1.00398,0.96404,0.96014,0.9685,0.67433,1.21131,0.45662,1.10693,0.000993269,0.000993269,0.000993269
156,2228.75,0.91753,0.40676,1.00507,0.9493,0.97985,0.97212,0.68086,1.18664,0.43732,1.08726,0.00099044,0.00099044,0.00099044
157,2240.1,0.91709,0.40578,1.00348,0.96296,0.97307,0.96717,0.67356,1.17712,0.43456,1.07919,0.00098761,0.00098761,0.00098761
158,2251.22,0.90821,0.40024,0.99368,0.96484,0.96591,0.96887,0.67971,1.18952,0.44985,1.08919,0.000984781,0.000984781,0.000984781
159,2262.07,0.91476,0.40341,0.99581,0.95148,0.97925,0.96665,0.67544,1.18682,0.44118,1.0885,0.000981952,0.000981952,0.000981952
160,2273.11,0.897,0.39456,0.99172,0.94094,0.98123,0.95807,0.66583,1.19794,0.43701,1.09837,0.000979122,0.000979122,0.000979122
161,2283.95,0.90716,0.39596,1.00285,0.95304,0.97016,0.96037,0.67181,1.17736,0.44031,1.08332,0.000976293,0.000976293,0.000976293
162,2294.54,0.90308,0.39504,0.9937,0.95278,0.97964,0.97006,0.68591,1.19369,0.43662,1.08605,0.000973463,0.000973463,0.000973463
163,2305.05,0.90905,0.39946,1.00801,0.96461,0.9605,0.9697,0.68395,1.20489,0.44396,1.09137,0.000970634,0.000970634,0.000970634
164,2315.9,0.90226,0.40833,0.99406,0.95091,0.97564,0.96826,0.67177,1.19438,0.432,1.09257,0.000967805,0.000967805,0.000967805
165,2326.44,0.91076,0.39672,1.00636,0.95981,0.97669,0.97181,0.66537,1.17882,0.41939,1.09577,0.000964975,0.000964975,0.000964975
166,2336.99,0.92262,0.40464,1.00753,0.95606,0.97185,0.97366,0.68672,1.17575,0.42773,1.08727,0.000962146,0.000962146,0.000962146
167,2347.78,0.8906,0.39167,1.00043,0.94574,0.98319,0.97472,0.68206,1.17745,0.42262,1.08261,0.000959316,0.000959316,0.000959316
168,2359.11,0.88724,0.39357,0.99307,0.96143,0.97333,0.96904,0.66476,1.18372,0.42475,1.08964,0.000956487,0.000956487,0.000956487
